net,length_um
_000_,192.9
_177_,162.97
_057_,138.46
_054_,132.49
_176_,131.21
_061_,123.22
_044_,118.08
net55,114.42
clknet_2_1__leaf_clk,108.7
clknet_2_0__leaf_clk,108.56
_045_,107.35
net49,107.13
_050_,103.32
net33,99.62
net47,98.7
net53,93.9
net60,91.88
net52,91.76
net44,90.26
net39,89.24
clknet_2_3__leaf_clk,88.3
net56,84.22
net45,83.98
net8,82.195
clknet_2_2__leaf_clk,82.1
net51,82.01
_049_,81.74
_053_,81.18
net50,81.06
net58,77.3
net26,74.34
net15,74.215
net48,71.9
net17,71.5
net42,71.3
_056_,70.52
net6,69.54
clk,66.85
net66,65.88
_092_,65.46
net1,64.06
net36,63.48
clknet_0_clk,62.84
_211_,61.87
net32,60.96
net9,58.8
_060_,57.97
net13,56.82
net54,56.44
net7,55.38
net38,53.68
net3,53.635
_221_,53.32
net20,52.92
net30,51.82
_040_,49.94
net16,49.86
net62,49
net46,48.52
net41,48.2
_042_,47.24
net43,44.4
net4,40.74
net31,40.74
net59,39.42
net2,38.56
net19,38.42
net5,36.98
net65,36.8
estado_act\[0\],36.34
mcand[12],35.45
net12,34.82
_089_,32.34
_163_,32.12
net24,31.32
_157_,31.26
net23,30.16
net10,30.02
net37,28.36
net61,28.2
_168_,27.34
net29,27.32
_047_,25.94
net63,25.82
product[30],25.63
_145_,25.595
_130_,25.28
net64,24.88
_149_,24.8
_125_,24.26
_232_,23.96
_121_,23.88
_180_,23.88
_106_,23.38
cnt_act\[1\],23.12
_041_,22.62
net57,22.12
mplier[2],22.02
_203_,21.04
product[22],20.58
_048_,20.42
product[13],19.12
net68,18.88
_069_,17.98
mplier[14],17.76
product[20],17.66
product[0],17.54
mcand[13],17.46
mcand[10],17.45
mplier[4],17.3
cnt_act\[3\],17.22
mcand[8],16.97
_183_,16.65
_098_,16.46
_194_,16.4
product[11],16.2
product[2],15.66
_080_,15.26
mplier[8],15.15
product[31],14.94
_235_,14.82
product[29],14.8
net40,14.8
net22,14.74
_190_,14.56
_189_,14.54
cnt_act\[2\],14.52
_136_,14.495
cnt_act\[0\],14.355
_081_,14.24
product[25],14.13
_112_,14
_159_,14
product[16],13.72
_105_,13.6
net35,13.56
_213_,13.5
acu_act\[32\],13.5
_182_,13.3
product[12],13.3
product[5],13.14
_151_,13.06
_099_,13.02
mplier[11],12.94
_072_,12.88
product[4],12.84
_169_,12.66
product[7],12.6
product[23],12.52
mplier[3],12.38
_087_,12.18
_226_,12.04
mplier[7],12.02
mplier[10],11.78
mplier[12],11.73
_062_,11.42
product[8],11.27
product[1],11.14
mplier[5],11.1
product[18],11.1
net11,11.04
product[19],11
product[14],10.83
mcand[4],10.64
_101_,10.62
_066_,10.615
product[26],10.54
product[6],10.54
_144_,10.48
_238_,10.44
_064_,10.38
_224_,10.3
_067_,10.28
_111_,10.18
net14,10.16
mcand[2],10.1
_195_,10.08
product[21],10.05
_205_,9.94
_117_,9.88
_127_,9.88
net72,9.74
_100_,9.68
mplier[6],9.64
product[3],9.62
product[9],9.43
mcand[7],9.39
estado_act\[1\],9.24
_186_,9.12
_170_,9.02
net27,9.02
_017_,9.005
_193_,8.98
_233_,8.88
net25,8.62
_142_,8.56
_237_,8.56
_032_,8.3
_075_,8.28
_115_,8.04
product[10],8.01
_128_,7.78
_031_,7.605
_091_,7.6
product[28],7.58
_230_,7.52
_027_,7.385
mcand[1],7.25
net83,7.1
_071_,7.06
net77,7.06
net80,7.06
_215_,6.92
_160_,6.72
_034_,6.685
_196_,6.66
_220_,6.64
_162_,6.6
_175_,6.6
_199_,6.6
net82,6.6
mplier[9],6.53
product[24],6.45
product[17],6.43
_025_,6.365
_122_,6.28
_082_,6.195
_212_,6.18
_141_,5.86
net87,5.86
_097_,5.84
_107_,5.84
_124_,5.8
_204_,5.8
_216_,5.74
_096_,5.72
net76,5.68
_005_,5.545
net73,5.52
st,5.51
_135_,5.48
_201_,5.4
_079_,5.34
done,5.29
mcand[6],5.29
mplier[13],5.29
_065_,5.26
_154_,5.22
_073_,5.14
net86,5.14
_174_,5.12
_207_,5.12
net85,5.12
_209_,5.06
net21,5.04
net28,5.04
net88,5
mcand[5],4.95
mcand[9],4.95
_126_,4.94
_085_,4.92
_200_,4.88
_225_,4.88
_228_,4.88
mcand[0],4.83
mcand[11],4.83
mplier[0],4.83
_059_,4.82
_103_,4.8
cnt_act\[4\],4.78
_104_,4.76
_188_,4.76
_093_,4.68
_202_,4.68
_010_,4.625
mcand[14],4.61
product[27],4.61
_143_,4.6
net75,4.6
_038_,4.585
_119_,4.46
_153_,4.46
_208_,4.46
_231_,4.44
_214_,4.42
_046_,4.36
_016_,4.315
product[15],4.27
_002_,4.24
_095_,4.2
_108_,4.2
_132_,4.2
_217_,4.2
net67,4.1
_102_,4.02
_234_,4
_236_,4
mcand[3],3.93
mplier[15],3.93
mplier[1],3.93
_068_,3.9
_074_,3.88
_120_,3.88
_187_,3.88
_222_,3.88
_129_,3.68
_229_,3.66
_058_,3.64
_078_,3.54
_198_,3.54
_030_,3.535
mcand[15],3.47
_003_,3.465
_140_,3.42
_178_,3.42
_015_,3.32
_024_,3.32
_138_,3.22
net70,3.22
_063_,3.08
_076_,3.08
_007_,3.045
_012_,3.045
_004_,3.005
_139_,2.98
_109_,2.96
net74,2.96
_006_,2.785
_223_,2.76
net78,2.76
_083_,2.72
_013_,2.715
_051_,2.64
_070_,2.64
_131_,2.62
_206_,2.62
_029_,2.545
_036_,2.545
_166_,2.52
_218_,2.52
_116_,2.5
_197_,2.5
_022_,2.42
_035_,2.42
_152_,2.4
_014_,2.325
_019_,2.325
_039_,2.325
_090_,2.3
_123_,2.3
_165_,2.3
_181_,2.3
net79,2.3
net81,2.3
_113_,2.215
_043_,2.18
_171_,2.18
net71,2.18
_118_,2.16
_146_,2.16
_156_,2.16
_172_,2.16
_191_,2.16
_192_,2.16
net84,2.16
_037_,2.125
_009_,2.085
_133_,2.06
_148_,2.06
_134_,2.04
net34,2.04
_011_,2.025
_018_,2.025
_020_,2.025
_023_,2.025
_147_,1.94
net18,1.94
_021_,1.92
_033_,1.915
_026_,1.865
_028_,1.865
_084_,1.84
_114_,1.84
_137_,1.84
_185_,1.84
_227_,1.84
_161_,1.82
_150_,1.72
_173_,1.72
_219_,1.7
_001_,1.405
_008_,1.405
_086_,1.38
_167_,1.38
_179_,1.38
_088_,1.26
_164_,1.14
_210_,1.14
_077_,0.92
_184_,0.92
net69,0.92
_052_,0.46
_055_,0.46
_094_,0.46
_110_,0.46
_155_,0.46
_158_,0.46
